Date,Time,Camera,Detection,Confidence
2026-06-30,14:40:23,Floor-1 Laptop-cam0,smoke,0.28
2026-06-30,14:40:33,Floor-1 Laptop-cam0,smoke,0.25
2026-06-30,14:40:37,Floor-1 Laptop-cam0,smoke,0.41
2026-06-30,14:40:39,Floor-1 Laptop-cam0,smoke,0.37
2026-06-30,14:41:46,Floor-1 Laptop-cam0,smoke,0.25
2026-06-30,14:50:49,Floor-2 Laptop-cam0,fire,0.25
2026-06-30,14:50:57,Reception Laptop-cam0,fire,0.34
2026-06-30,14:51:08,Reception Laptop-cam0,fire,0.31
2026-06-30,14:51:09,Floor-2 Laptop-cam0,fire,0.32
2026-06-30,14:51:09,Reception Laptop-cam0,fire,0.25
2026-06-30,14:51:11,Reception Laptop-cam0,fire,0.29
2026-06-30,14:51:13,Reception Laptop-cam0,fire,0.29
2026-06-30,14:56:09,Lab Laptop-cam0,smoke,0.28
2026-06-30,14:56:10,Lab Laptop-cam0,smoke,0.28
2026-06-30,14:56:15,Lab Laptop-cam0,smoke,0.30
2026-06-30,14:56:16,Lab Laptop-cam0,smoke,0.40
2026-06-30,14:56:18,Lab Laptop-cam0,smoke,0.45
2026-06-30,14:56:20,Lab Laptop-cam0,smoke,0.65
2026-06-30,14:56:23,Lab Laptop-cam0,smoke,0.52
2026-06-30,14:56:24,Lab Laptop-cam0,smoke,0.31
2026-06-30,14:56:25,Lab Laptop-cam0,smoke,0.43
2026-06-30,14:57:06,Floor-2 Laptop-cam0,fire,0.33
2026-06-30,14:57:08,Floor-2 Laptop-cam0,fire,0.27
2026-06-30,14:57:14,Lab Laptop-cam0,smoke,0.28
2026-06-30,14:57:58,Floor-2 Laptop-cam0,fire,0.31
2026-06-30,14:58:00,Floor-2 Laptop-cam0,fire,0.26
2026-06-30,14:59:22,BAY 3-cam0,smoke,0.31
2026-06-30,14:59:23,BAY 3-cam0,smoke,0.50
2026-06-30,15:01:07,CAM0-BAY 3,fire,0.29
2026-06-30,15:01:08,CAM0-BAY 3,fire,0.42
2026-06-30,15:01:09,CAM0-BAY 3,smoke,0.26
2026-06-30,15:01:11,CAM0-BAY 3,fire,0.42
2026-06-30,15:01:12,CAM0-BAY 3,fire,0.56
2026-06-30,15:01:13,CAM0-BAY 3,fire,0.62
2026-06-30,15:01:14,CAM0-BAY 3,fire,0.69
2026-06-30,15:01:51,CAM0-BAY 3,smoke,0.45
2026-06-30,15:04:22,CAM0-BAY 3,smoke,0.25
2026-06-30,15:04:58,CAM0-BAY 3,smoke,0.30
2026-06-30,15:06:08,CAM0-BAY 3,smoke,0.26
2026-06-30,15:06:28,CAM0-BAY 3,smoke,0.25
2026-06-30,15:06:29,CAM0-BAY 3,smoke,0.45
2026-06-30,15:06:30,CAM0-BAY 3,smoke,0.25
2026-06-30,15:06:31,CAM0-BAY 3,smoke,0.36
2026-06-30,15:06:32,CAM0-BAY 3,smoke,0.32
2026-06-30,15:06:40,CAM0-BAY 3,smoke,0.30
2026-06-30,15:06:45,CAM0-BAY 3,smoke,0.33
2026-06-30,15:06:50,CAM0-BAY 3,smoke,0.28
2026-06-30,15:07:07,CAM0-BAY 3,smoke,0.35
2026-06-30,15:07:09,CAM0-BAY 3,smoke,0.41
2026-06-30,15:07:11,CAM0-BAY 3,smoke,0.43
2026-06-30,15:08:42,CAM0-BAY 3,smoke,0.52
2026-06-30,15:08:44,CAM0-BAY 3,smoke,0.28
2026-06-30,15:08:45,CAM0-BAY 3,smoke,0.28
2026-06-30,15:08:47,CAM0-BAY 3,smoke,0.55
2026-06-30,15:08:48,CAM0-BAY 3,smoke,0.25
2026-06-30,15:08:54,CAM0-BAY 3,smoke,0.67
2026-06-30,15:08:55,CAM0-BAY 3,smoke,0.32
2026-06-30,15:09:15,CAM0-DOCK,fire,0.26
2026-06-30,15:09:16,CAM0-BAY 3,smoke,0.26
2026-06-30,15:09:20,CAM0-BAY 3,fire,0.30
2026-06-30,15:09:21,CAM0-BAY 3,fire,0.36
2026-06-30,15:09:23,CAM0-BAY 3,fire,0.33
2026-06-30,15:09:27,CAM0-BAY 3,fire,0.26
2026-06-30,15:09:29,CAM0-BAY 3,fire,0.25
2026-06-30,15:09:30,CAM0-BAY 3,fire,0.39
2026-06-30,15:09:32,CAM0-BAY 3,fire,0.32
2026-06-30,15:09:36,CAM0-BAY 3,fire,0.27
2026-06-30,15:09:41,CAM0-BAY 3,smoke,0.34
2026-06-30,15:10:02,CAM0-BAY 3,smoke,0.51
2026-06-30,15:10:04,CAM0-BAY 3,smoke,0.31
2026-06-30,15:10:06,CAM0-BAY 3,smoke,0.39
2026-06-30,15:10:09,CAM0-BAY 3,smoke,0.72
2026-06-30,15:10:10,CAM0-BAY 3,smoke,0.35
2026-06-30,15:10:11,CAM0-BAY 3,smoke,0.28
2026-06-30,15:10:14,CAM0-BAY 3,smoke,0.59
2026-06-30,15:10:16,CAM0-BAY 3,smoke,0.51
2026-06-30,15:10:16,CAM0-DOCK,fire,0.26
2026-06-30,15:10:18,CAM0-BAY 3,smoke,0.28
2026-06-30,15:10:27,CAM0-BAY 3,smoke,0.34
2026-06-30,15:10:30,CAM0-BAY 3,smoke,0.32
2026-06-30,15:10:34,CAM0-BAY 3,smoke,0.35
2026-06-30,15:10:35,CAM0-BAY 3,smoke,0.39
2026-06-30,15:10:36,CAM0-BAY 3,smoke,0.26
2026-06-30,15:10:38,CAM0-BAY 3,smoke,0.35
2026-06-30,15:10:39,CAM0-BAY 3,smoke,0.30
2026-06-30,15:10:40,CAM0-BAY 3,smoke,0.29
2026-06-30,15:10:43,CAM0-BAY 3,smoke,0.27
2026-06-30,15:10:44,CAM0-BAY 3,smoke,0.35
2026-06-30,15:10:45,CAM0-BAY 3,smoke,0.30
2026-06-30,15:10:46,CAM0-BAY 3,smoke,0.28
2026-06-30,15:10:47,CAM0-BAY 3,smoke,0.35
2026-06-30,15:10:50,CAM0-BAY 3,smoke,0.32
2026-06-30,15:10:51,CAM0-BAY 3,smoke,0.29
2026-06-30,15:10:52,CAM0-BAY 3,smoke,0.26
2026-06-30,15:10:56,CAM0-BAY 3,smoke,0.29
2026-06-30,15:11:00,CAM0-BAY 3,smoke,0.35
2026-06-30,15:11:14,CAM0-BAY 3,smoke,0.31
2026-06-30,15:11:21,CAM0-BAY 3,smoke,0.55
2026-06-30,15:11:23,CAM0-BAY 3,smoke,0.27
2026-06-30,15:11:42,CAM0-BAY 3,smoke,0.26
2026-06-30,15:12:04,CAM0-BAY 3,smoke,0.28
2026-06-30,15:12:06,CAM0-BAY 3,smoke,0.33
2026-06-30,15:12:08,CAM0-BAY 3,smoke,0.28
2026-06-30,15:12:14,CAM0-BAY 3,smoke,0.29
2026-06-30,15:12:16,CAM0-BAY 3,smoke,0.33
2026-06-30,15:12:18,CAM0-BAY 3,smoke,0.61
2026-06-30,15:12:20,CAM0-BAY 3,smoke,0.50
2026-06-30,15:12:22,CAM0-BAY 3,smoke,0.37
2026-06-30,15:12:25,CAM0-BAY 3,smoke,0.29
2026-06-30,15:12:30,CAM0-BAY 3,smoke,0.38
2026-06-30,15:12:31,CAM0-BAY 3,smoke,0.26
2026-06-30,15:12:39,CAM0-BAY 3,smoke,0.42
2026-06-30,15:12:55,CAM0-BAY 3,smoke,0.28
2026-06-30,15:13:03,CAM0-BAY 3,smoke,0.35
2026-06-30,15:13:07,CAM0-BAY 3,smoke,0.55
2026-06-30,15:13:08,CAM0-BAY 3,smoke,0.41
2026-06-30,15:13:09,CAM0-BAY 3,smoke,0.57
2026-06-30,15:13:29,CAM0-BAY 3,smoke,0.31
2026-06-30,15:13:31,CAM0-BAY 3,smoke,0.28
2026-06-30,15:13:32,CAM0-BAY 3,smoke,0.37
2026-06-30,15:13:40,CAM0-BAY 3,smoke,0.34
2026-06-30,15:13:42,CAM0-BAY 3,smoke,0.37
2026-06-30,15:13:43,CAM0-BAY 3,smoke,0.26
2026-06-30,15:13:45,CAM0-BAY 3,smoke,0.28
2026-06-30,15:13:46,CAM0-BAY 3,smoke,0.27
2026-06-30,15:13:47,CAM0-BAY 3,smoke,0.36
2026-06-30,15:13:49,CAM0-BAY 3,smoke,0.37
2026-06-30,15:14:01,CAM0-BAY 3,smoke,0.27
2026-06-30,15:14:08,CAM0-BAY 3,smoke,0.52
2026-06-30,15:14:11,CAM0-DOCK,fire,0.26
2026-06-30,15:14:37,CAM0-DOCK,fire,0.27
2026-06-30,15:15:19,CAM0-BAY 3,fire,0.28
2026-06-30,15:15:20,CAM0-BAY 3,smoke,0.29
2026-06-30,15:15:24,CAM0-BAY 3,smoke,0.34
